# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Initial discovery generated from exact vtable topology and effective root callers.
# Manually maintained after bootstrap. Never replace this wall from generated output;
# review additions/removals and their source/static-library disposition explicitly.
rva	signals	status	note
0x0700f0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x070300	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x078af0	file-write	target	initial retail call/vtable census
0x07a800	file-read,stdio-read	target	initial retail call/vtable census
0x07abc0	file-read,stdio-read	target	initial retail call/vtable census
0x07ada0	file-read	target	initial retail call/vtable census
0x07b250	file-write	reconstructed	source-complete game-owned character-slot name updater; 99.89%, sole residual is FID-ambiguous vendor CString assignment referent; helper 0x07a740 exact
0x07b760	file-write	target	initial retail call/vtable census
0x07cc60	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x0814b0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x0855d0	file-write	reconstructed	exact game-owned radial-offset table writer; 100%
0x085690	file-read	reconstructed	exact game-owned radial-offset table reader; 100%
0x08aaf0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x08ad90	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x08b1c0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x08b6a0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x08bbb0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x08cef0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x08d430	stdio-read	reconstructed	initial retail call/vtable census; CPixMap::LoadPPM
0x098aa0	archive-read,archive-vslot2,archive-write	reconstructed	exact texture-owner CArray serializer over raw 0x20-byte command records; 100%
0x098cd0	archive-read,archive-vslot2,archive-write	reconstructed	exact texture-owner CArray serializer over raw eight-byte span records; 100%
0x098ee0	archive-read,archive-vslot2,archive-write	reconstructed	exact texture-owner CArray serializer over four-byte runtime-object references; 100%
0x0990d0	archive-read,archive-vslot2,archive-write	reconstructed	exact texture-owner CArray serializer over 0x7c-byte descriptor records; 100%
0x099370	archive-read,archive-vslot2,archive-write	reconstructed	exact texture-owner CArray serializer over 0x13c-byte table records; 100%
0x099620	archive-read,archive-vslot2,archive-write	reconstructed	exact texture-owner CArray serializer over raw 0x80-byte block records; 100%
0x0998c0	archive-read,archive-vslot2,archive-write	reconstructed	source-complete DWORD-to-texture-resource CMap serializer; 99.9713%, sole residual is ambiguous vendor CString assignment referent
0x099c20	archive-read,archive-vslot2,archive-write	reconstructed	exact DWORD-to-texture-lookup CMap serializer with DirectDraw-reference value; 100%
0x09e710	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x0ae2e0	archive-read,archive-write	reconstructed	exact four-byte raw SerializeElements instantiation for first neighboring CArray cluster; 100%
0x0ae3b0	archive-read,archive-write	reconstructed	exact four-byte raw SerializeElements instantiation for second neighboring CArray cluster; 100%
0x0b0010	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x0b39b0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x0c6047	stdio-read	target	initial retail call/vtable census
0x0c8600	archive-read,archive-vslot2,archive-write	reconstructed	exact resource-owned pointer-handle CArray serializer; 100%
0x0c8a40	archive-read,archive-vslot2,archive-write	reconstructed	exact resource-indexed pointer-handle CArray serializer; 100%
0x0c8ee0	archive-read,archive-write	reconstructed	exact resource-owned pointer-handle SerializeElements instantiation; 100%
0x0c8fe0	archive-read,archive-write	reconstructed	exact resource-indexed pointer-handle SerializeElements instantiation; 100%
0x0c99f0	stdio-read	reconstructed	exact update.lst line reader; char-pointer fopen callsite also resolves the CRT provider
0x0ca430	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x0ca690	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x0ca870	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x0cb320	file-read	target	initial retail call/vtable census
0x0cee6f	file-write	target	initial retail call/vtable census
0x0cf1ee	file-read	target	initial retail call/vtable census
0x0cf4f0	file-write	target	initial retail call/vtable census
0x0d0c97	archive-read,archive-write	reconstructed	exact CReferenceWorld save/load serializer; 100% over the 0x94b retail extent with 112 ordered relocations
0x0d15e2	file-write	reconstructed	exact game-owned server-state text writer; configured path, state line, and unattached-world-object count
0x0d1783	file-read	target	initial retail call/vtable census
0x0d5dd2	file-read	target	initial retail call/vtable census
0x0d933a	file-write	target	initial retail call/vtable census
0x0da34b	file-read	target	initial retail call/vtable census
0x0dbd14	archive-container	target	initial retail call/vtable census
0x0de85b	archive-read	reconstructed	exact TableLine typed object reader; reviewed CRuntimeClass record; 100%
0x0df278	archive-read,archive-vslot2,archive-write	reconstructed	initial retail call/vtable census; slot-2 class=TableLine
0x0df2c6	archive-read,archive-vslot2,archive-write	reconstructed	TableLine-derived five-WORD block + nested CStringArray serializer
0x0df322	archive-read,archive-vslot2,archive-write	reconstructed	TableLine-named CString + raw 72-byte block serializer
0x0df42a	archive-read,archive-vslot2,archive-write	reconstructed	TableLine-derived first-WORD-byte + CString serializer
0x0df63a	archive-read,archive-vslot2,archive-write	reconstructed	TableLine-derived fixed two-CString serializer
0x0dfe42	archive-read,archive-vslot2,archive-write	reconstructed	TableLine-derived fixed ten-CString serializer
0x0dffcd	archive-vslot2	reconstructed	initial retail call/vtable census; slot-2 class=TableLine
0x0e03d2	archive-read,archive-vslot2,archive-write	reconstructed	TableLine-derived CString extension serializer
0x0e0b06	file-read	target	initial retail call/vtable census
0x0eba39	stdio-read	target	initial retail call/vtable census
0x0f2461	archive-read	reconstructed	exact IMPLEMENT_SERIAL Token typed reader
0x0f2a24	archive-read	reconstructed	exact IMPLEMENT_SERIAL VirtualCaster typed reader
0x0f2bf7	archive-read	reconstructed	exact IMPLEMENT_SERIAL Unit typed reader
0x0f562c	archive-read,archive-write	reconstructed	exact raw 0x40-byte embedded Unit block serializer
0x0f6d82	archive-read	reconstructed	exact IMPLEMENT_SERIAL Humanoid typed reader
0x0f8a4f	archive-read	reconstructed	exact IMPLEMENT_SERIAL Diary typed reader
0x0f8e4e	archive-read	reconstructed	exact IMPLEMENT_SERIAL Human typed reader
0x0fa69a	archive-read,archive-write	reconstructed	exact shared raw 0x16-byte embedded block serializer
0x0fa9f5	archive-read,archive-write	reconstructed	exact CDirectDamagePayload raw 24-byte serializer
0x0faac4	archive-read	reconstructed	exact IMPLEMENT_SERIAL Player typed reader
0x0fc448	archive-read	reconstructed	exact IMPLEMENT_SERIAL SpellEffect typed reader
0x0fc59a	archive-read	reconstructed	exact IMPLEMENT_SERIAL PointEffect typed reader
0x0fc8d7	archive-read	reconstructed	exact IMPLEMENT_SERIAL AreaEffect typed reader
0x0fda57	archive-read	reconstructed	exact IMPLEMENT_SERIAL SpellTransport typed reader
0x0fdda2	archive-read	reconstructed	exact IMPLEMENT_SERIAL Spell typed reader
0x100742	archive-vslot2	reconstructed	exact Spell scalar/reference/definition serializer; slot-2 class=Spell
0x1008ba	archive-read	reconstructed	exact IMPLEMENT_SERIAL Spellbook typed reader
0x100c1d	archive-vslot2	reconstructed	exact Spellbook array/object serializer; slot-2 class=Spellbook
0x100d05	archive-vslot2	reconstructed	exact Token-derived serializer; slot-2 class=Effect
0x100da4	archive-vslot2	reconstructed	exact Effect plus raw damage payload serializer; slot-2 class=Effect_DirectDamage
0x100dcc	archive-vslot2	reconstructed	exact Token-derived serializer; slot-2 class=SpellEffect
0x100e2f	archive-vslot2	reconstructed	exact object/reference serializer; slot-2 class=SpellTransport
0x100efc	archive-vslot2	reconstructed	exact object/reference serializer; slot-2 class=PointEffect
0x100fa5	archive-vslot2	reconstructed	exact byte/WORD/object serializer; slot-2 class=AreaEffect
0x101148	archive-read	reconstructed	exact IMPLEMENT_SERIAL Effect typed reader
0x102b3e	archive-read	reconstructed	exact IMPLEMENT_SERIAL Effect_DirectDamage typed reader
0x10385d	stdio-read	target	initial retail call/vtable census
0x10418a	archive-read	reconstructed	exact IMPLEMENT_SERIAL Building typed reader
0x104825	archive-vslot2	reconstructed	exact Token-derived Building definition/scalar serializer; slot-2 class=Building
0x104a3f	archive-read	reconstructed	exact IMPLEMENT_SERIAL Outpost typed reader
0x105131	archive-read	reconstructed	exact IMPLEMENT_SERIAL Tavern typed reader
0x105ae4	archive-vslot2	reconstructed	exact Building-derived UINT serializer; slot-2 class=Tavern
0x105bc6	archive-read	reconstructed	exact IMPLEMENT_SERIAL Shop typed reader
0x10602b	archive-vslot2	reconstructed	exact Building-derived UINT serializer; slot-2 class=Shop
0x106108	archive-read	reconstructed	exact IMPLEMENT_SERIAL CMultiShopShelf typed reader
0x1061bf	archive-read	reconstructed	exact IMPLEMENT_SERIAL CMultiShopInstance typed reader
0x106276	archive-read	reconstructed	exact IMPLEMENT_SERIAL CMultiShopTemplate typed reader
0x107f85	archive-read	reconstructed	exact IMPLEMENT_SERIAL Item typed reader
0x10c2c1	archive-read	reconstructed	exact IMPLEMENT_SERIAL Armor typed reader
0x10ccb0	archive-read	reconstructed	exact IMPLEMENT_SERIAL Shield typed reader
0x10d617	archive-read	reconstructed	exact IMPLEMENT_SERIAL Weapon typed reader
0x10f275	archive-read	reconstructed	exact IMPLEMENT_SERIAL Sack typed reader
0x1104d6	archive-vslot2	reconstructed	exact Weapon serializer; Item base, raw damage/shared records, BYTE/Spell fields, and 60-byte definition lookup
0x110577	archive-read,archive-vslot2,archive-write	reconstructed	source-complete Unit serializer; 99.99% with normalized bytes identical and sole referent residual at unclaimed CObject::operator new target 0x231d0
0x110ebb	archive-vslot2	reconstructed	exact base Token payload/scalar/reference serializer; slot-2 class=Token
0x11103f	archive-vslot2	reconstructed	exact Shield serializer; Item base, shared record, and load-time 60-byte definition lookup
0x1110e8	archive-read,archive-vslot2,archive-write	reconstructed	source-complete Player serializer; 99.74%, identical extent/instruction/call/branch/relocation topology, classified local-slot scheduling residual
0x111486	archive-vslot2	reconstructed	exact Diary serializer; two CObArray streams plus deferred Token reference resolution
0x11158b	archive-vslot2	reconstructed	exact Outpost serializer; Building base, four UINT fields, and placement-array stream
0x111653	archive-vslot2	reconstructed	exact Item serializer; Token base, effect list, eight scalar fields, and guarded 64-byte definition lookup
0x1117bf	archive-read,archive-vslot2,archive-write	reconstructed	exact Humanoid serializer; Unit base, raw block, typed Item array, and Diary pointer; 100%
0x111898	archive-vslot2	reconstructed	source-complete Human serializer; 99.91%, masked bytes identical, residuals are the unclaimed NPC literal datum and withheld ambiguous MFC CString::Find provider
0x111943	archive-vslot2	reconstructed	exact Sack serializer; Token base, UINT field, and owned item-list stream
0x111b15	archive-vslot2	reconstructed	initial retail call/vtable census; slot-2 class=CObject
0x111b35	archive-vslot2	reconstructed	exact Armor serializer; Item base, shared record, BYTE field, and 60-byte definition lookup
0x111ba2	archive-read,archive-vslot2,archive-write	reconstructed	exact VirtualCaster serializer; Token base, BYTE field, and six-byte pointed buffer; 100%
0x114520	archive-write	reconstructed	exact VC5 SP2 CArchive const-CObject insertion COMDAT emitted by Spell serializer TU
0x118360	archive-read,archive-vslot2,archive-write	reconstructed	exact CList<Effect*, Effect*> serializer; Token+0x20 owner and typed Effect archive reader; 100%
0x118810	archive-read,archive-vslot2,archive-write	reconstructed	exact CList<Item*, Item*> serializer; typed Item archive reader and CRuntimeClass record; 100%
0x118b50	archive-read,archive-vslot2,archive-write	reconstructed	exact signed-index CArray serializer; 100%
0x118ef0	archive-read,archive-vslot2,archive-write	reconstructed	exact 0x68-record CArray serializer; 100%
0x1192b0	archive-read,archive-vslot2,archive-write	reconstructed	exact 0x3c-record CArray serializer; 100%
0x119650	archive-read,archive-vslot2,archive-write	reconstructed	exact 0x40-record CArray serializer; 100%
0x119a10	archive-read,archive-vslot2,archive-write	reconstructed	exact primary 0x1c-record CArray serializer; 100%
0x119db0	archive-read,archive-vslot2,archive-write	reconstructed	exact primary 0x30-record CArray serializer; 100%
0x11a170	archive-read,archive-vslot2,archive-write	reconstructed	exact secondary 0x30-record CArray serializer; 100%
0x11a530	archive-read,archive-vslot2,archive-write	reconstructed	exact tertiary 0x1c-record CArray serializer; 100%
0x11a8d0	archive-read,archive-vslot2,archive-write	reconstructed	exact CSpellDefinition CArray serializer; 100%
0x11ac70	archive-read,archive-vslot2,archive-write	reconstructed	exact Spell-pointer CArray serializer; 100%
0x11ae60	archive-read,archive-vslot2,archive-write	reconstructed	source-owned collection-handle CArray serializer; 99.87%, sole residual is generic SetSize referent identity
0x11b090	archive-read,archive-vslot2,archive-write	reconstructed	source-owned CList<WORD,WORD> serializer; 99.91%, sole residual is generic AddTail referent identity
0x11b240	archive-read,archive-vslot2,archive-write	reconstructed	source-owned by-value map-value CList serializer; 99.91%, sole residual is generic AddTail referent identity
0x11b570	archive-read,archive-vslot2,archive-write	reconstructed	source-owned by-value map-object CList serializer; 99.91%, sole residual is generic AddTail referent identity
0x11b890	archive-read,archive-vslot2,archive-write	reconstructed	source-owned by-value map-record CList serializer; 99.91%, sole residual is generic AddTail referent identity
0x11bdb0	archive-read,archive-vslot2,archive-write	reconstructed	source-owned by-value shared-map CList serializer; 99.91%, sole residual is generic AddTail referent identity
0x11c130	archive-read,archive-vslot2,archive-write	reconstructed	source-owned by-reference map-tail CList serializer; 99.91%, sole residual is generic AddTail referent identity
0x11c440	archive-read,archive-vslot2,archive-write	reconstructed	source-owned by-reference shared-map CList serializer; 99.91%, sole residual is generic AddTail referent identity
0x11c690	archive-read,archive-vslot2,archive-write	reconstructed	source-owned DWORD-reference/four-byte-value-reference CMap serializer; 99.83%, generic SetAt and value-element referents remain
0x11cc30	archive-read,archive-vslot2,archive-write	reconstructed	source-owned shared four-byte-value CArray serializer; 99.74%, generic SetSize and folded element-helper referents remain
0x11cfd0	archive-read,archive-vslot2,archive-write	reconstructed	source-owned map-value CArray serializer; 99.87%, sole residual is generic SetSize referent identity
0x11d0a0	archive-read,archive-vslot2,archive-write	reconstructed	source-owned by-value deferred-handle CList serializer; 99.74%, generic AddTail and folded element-helper referents remain
0x11d640	archive-read,archive-vslot2,archive-write	reconstructed	exact Outpost+0x6c four-short-record CArray serializer; parent field uses prove eight-byte elements; 100%
0x11d710	archive-read,archive-vslot2,archive-write	reconstructed	exact CScenarioSubsystems+0x10 CList<VirtualCaster*, VirtualCaster*> serializer; typed allocation/add-tail path; 100%
0x11d8e0	archive-read,archive-vslot2,archive-write	reconstructed	exact world-item manager CList<CWorldItem*, CWorldItem*> serializer; add/remove parent callsites; 100%
0x11dc60	archive-read,archive-vslot2,archive-write	reconstructed	exact CScenarioResource+0x28 six-byte-record CArray serializer; parent constructor/accessors; 100%
0x11df80	archive-read,archive-vslot2,archive-write	reconstructed	exact CScenarioResource+0x40/+0x5c entry-pointer CList serializer; 0x31c entry allocation path; 100%
0x11e390	archive-read,archive-vslot2,archive-write	reconstructed	exact CScenarioResource+0x78 0xb8-record CArray serializer; parent raw-read loop and accessors; 100%
0x11e560	archive-read,archive-vslot2,archive-write	reconstructed	exact CScenarioResource+0x2dc building-collection reference CArray serializer; parent dereference sites; 100%
0x11e730	archive-read,archive-vslot2,archive-write	reconstructed	exact CScenarioResource+0x2f0 building-caster reference CArray serializer; parent dereference sites; 100%
0x11e900	archive-read,archive-vslot2,archive-write	reconstructed	exact CScenarioResource+0x304 building-record reference CArray serializer; parent dereference sites; 100%
0x11ead0	archive-read,archive-vslot2,archive-write	reconstructed	exact CScenarioResource+0x318 unit-record reference CArray serializer; parent dereference sites; 100%
0x11ed20	archive-read,archive-vslot2,archive-write	reconstructed	exact CMultiShopTemplate+0x7c CArray<CMultiShopInstance*> serializer; allocation/destruction parent paths; 100%
0x11edf0	archive-read,archive-vslot2,archive-write	reconstructed	exact CScenarioSecondary+0x04 CList<SpellEffect*, SpellEffect*> serializer; SpellEffect-derived add-tail parents; 100%
0x11f5d0	archive-read,archive-vslot2,archive-write	reconstructed	exact parsed-scenario-entry pointer CList serializer; Humans/Outposts/Items parser parents and 0x1c polymorphic allocation; 100%
0x11fb70	archive-read,archive-vslot2,archive-write	reconstructed	exact int-key/map-value CMap serializer; CScenarioObjectMap::Rebuild local and helper topology; 100%
0x11fdc0	archive-read,archive-vslot2,archive-write	reconstructed	exact int-key/map-object CMap serializer; CScenarioObjectMap::Rebuild local and helper topology; 100%
0x120010	archive-read,archive-vslot2,archive-write	reconstructed	exact int-key/map-record CMap serializer; CScenarioObjectMap::Rebuild local and helper topology; 100%
0x120260	archive-read,archive-vslot2,archive-write	reconstructed	exact int-key/deferred-handle CMap serializer; CScenarioObjectMap::Rebuild local and shared helper; 100%
0x120540	archive-read,archive-vslot2,archive-write	reconstructed	exact int-reference key/value CMap serializer; load-side SetAt argument addresses; 100%
0x120870	archive-read,archive-vslot2,archive-write	reconstructed	exact BYTE-reference key/int-reference value CMap serializer; node offsets and helpers; 100%
0x121350	archive-read,archive-vslot2,archive-write	reconstructed	exact CArray<double,double> serializer; QWORD element initialization/comparison and eight-byte stride; 100%
0x121f20	archive-read,archive-write	reconstructed	exact linked-collection element SerializeElements instantiation
0x122020	archive-read,archive-vslot2,archive-write	reconstructed	exact queued-object reference CList serializer; removal path dereferences each word then dispatches a virtual method; 100%
0x1222e0	archive-read,archive-write	reconstructed	exact queued-object reference SerializeElements instantiation; corrected from the earlier size-only value identity; 100%
0x122670	archive-read,archive-write	reconstructed	exact list/array-shared element SerializeElements instantiation
0x1227a0	archive-read,archive-write	reconstructed	exact shared signed-index SerializeElements instantiation
0x122920	archive-read,archive-write	reconstructed	exact 0x68-byte record SerializeElements instantiation
0x122b30	archive-read,archive-write	reconstructed	exact 0x3c-byte record SerializeElements instantiation
0x122d90	archive-read,archive-write	reconstructed	exact 0x40-byte record SerializeElements instantiation
0x122f10	archive-read,archive-write	reconstructed	exact 0x1c-byte record SerializeElements instantiation
0x123110	archive-read,archive-write	reconstructed	exact primary 0x30-byte record SerializeElements instantiation
0x123310	archive-read,archive-write	reconstructed	exact secondary 0x30-byte record SerializeElements instantiation
0x123490	archive-read,archive-write	reconstructed	exact tertiary 0x1c-byte record SerializeElements instantiation
0x123680	archive-read,archive-write	reconstructed	exact CSpellDefinition SerializeElements instantiation
0x123760	archive-read,archive-write	reconstructed	exact Spell-pointer SerializeElements instantiation
0x123a50	archive-read,archive-write	reconstructed	exact collection-handle SerializeElements instantiation
0x123ba0	archive-read,archive-write	reconstructed	exact WORD SerializeElements instantiation
0x123e00	archive-read,archive-write	reconstructed	exact shared map-value SerializeElements instantiation
0x1240e0	archive-read,archive-write	reconstructed	exact map-object SerializeElements instantiation
0x124440	archive-read,archive-write	reconstructed	exact map-record SerializeElements instantiation
0x1245e0	archive-read,archive-write	reconstructed	exact map-family-shared SerializeElements instantiation
0x1247a0	archive-read,archive-write	reconstructed	exact map-tail SerializeElements instantiation
0x124bc0	archive-read,archive-write	reconstructed	source-owned MFC SerializeElements<DWORD> instantiation; 40.57% compiler-context residual
0x124c00	archive-read,archive-write	reconstructed	exact map-payload-handle SerializeElements instantiation; parent 0x11c690; 100%
0x1250a0	archive-read,archive-write	reconstructed	exact deferred-collection-handle SerializeElements instantiation; parents 0x11d0a0/0x120260; 100%
0x125230	archive-read,archive-write	reconstructed	exact Outpost four-short-record SerializeElements instantiation; parent 0x11d640; 100%
0x125400	archive-read,archive-write	reconstructed	exact VirtualCaster-pointer SerializeElements instantiation; parent 0x11d710; 100%
0x125770	archive-read,archive-write	reconstructed	exact CWorldItem-pointer SerializeElements instantiation; parent 0x11d8e0; 100%
0x125b10	archive-read,archive-write	reconstructed	exact six-byte scenario-index SerializeElements instantiation; parent 0x11dc60; 100%
0x125bc0	archive-read,archive-write	reconstructed	exact scenario-resource-object reference SerializeElements instantiation; zero-call retained emission beside the game-owned pointer-array methods; 100%
0x125db0	archive-read,archive-write	reconstructed	exact scenario-entry-pointer SerializeElements instantiation; parent 0x11df80; 100%
0x125e90	archive-read,archive-write	reconstructed	exact 0xb8-byte scenario-record SerializeElements instantiation; parent 0x11e390; 100%
0x126190	archive-read,archive-write	reconstructed	exact building-collection reference SerializeElements instantiation; parent 0x11e560; 100%
0x126480	archive-read,archive-write	reconstructed	exact building-caster reference SerializeElements instantiation; parent 0x11e730; 100%
0x126770	archive-read,archive-write	reconstructed	exact building-record reference SerializeElements instantiation; parent 0x11e900; 100%
0x126a60	archive-read,archive-write	reconstructed	exact unit-record reference SerializeElements instantiation; parent 0x11ead0; 100%
0x126d50	archive-read,archive-write	reconstructed	exact CMultiShopInstance-pointer SerializeElements instantiation; parent 0x11ed20; 100%
0x126f70	archive-read,archive-write	reconstructed	exact SpellEffect-pointer SerializeElements instantiation; parent 0x11edf0; 100%
0x1274b0	archive-read,archive-write	reconstructed	exact parsed-scenario-entry pointer SerializeElements instantiation; parent 0x11f5d0; 100%
0x128570	archive-read,archive-write	reconstructed	exact BYTE SerializeElements instantiation; key helper for parent 0x120870; 100%
0x1289d0	archive-read,archive-write	reconstructed	exact double SerializeElements instantiation; parent 0x121350; 100%
0x139100	archive-read,archive-write	reconstructed	source-complete raw 0x94 owner plus CList<WORD,WORD>; 31.37%, incomplete-TU IsStoring/allocation/constructor inline-call residual
0x139210	archive-read,archive-write	reconstructed	source-complete raw 0x50 owner plus CList<WORD,WORD>; 31.37%, incomplete-TU IsStoring/allocation/constructor inline-call residual
0x139310	archive-read,archive-write	reconstructed	source-complete Player-owned raw 0x20 archive block; 25.13%, incomplete-TU IsStoring inline/call-set residual
0x139350	archive-read,archive-write	reconstructed	source-owned CWorldRuntime serializer placeholder; 0.76%, implementation remains open
0x13db00	archive-read,archive-write	reconstructed	100%; exact complete-object 0x50-byte raw archive serializer
0x13dbc0	archive-read,archive-write	reconstructed	100%; exact complete-object 0x48-byte raw archive serializer
0x13dc80	archive-read,archive-write	reconstructed	100%; exact complete-object 0x0c-byte raw archive serializer
0x13dcc0	archive-read,archive-write	reconstructed	100%; exact 24-byte owner, dual list allocation, and ordered virtual dispatch
0x13e840	archive-read,archive-write	reconstructed	exact raw 0x190-byte CReferenceSnapshot serializer; 100%
0x13ec20	archive-read,archive-vslot2,archive-write	reconstructed	exact DWORD-key/value CMap template serializer; 100%
0x13eec0	archive-read,archive-vslot2,archive-write	reconstructed	exact pointer-key/DWORD-value CMap template serializer; 100%
0x13f160	archive-read,archive-vslot2,archive-write	reconstructed	exact DWORD-key/pointer-value CMap template serializer; 100%
0x13f450	archive-read,archive-vslot2,archive-write	reconstructed	exact pointer-key/value CMap template serializer; 100%
0x13f6c0	archive-read,archive-vslot2,archive-write	reconstructed	exact DWORD CArray template serializer; 100%
0x13f850	archive-read,archive-vslot2,archive-write	reconstructed	source-complete by-value 0x50-record CList serializer; 13.46% lifecycle/compiler-context residual
0x13fb60	archive-read,archive-vslot2,archive-write	reconstructed	source-complete 0x48-record CArray serializer; 90.65% lifecycle-referent residual
0x13fda0	archive-read,archive-vslot2,archive-write	reconstructed	source-complete by-value 0x18 owner-record CList serializer; 51.30% lifecycle/copy residual
0x13ff30	archive-read,archive-vslot2,archive-write	reconstructed	source-complete by-value 0x0c-record CList serializer; 12.13% lifecycle/compiler-context residual
0x1400e0	archive-read,archive-vslot2,archive-write	reconstructed	exact pointer-sized CList template serializer; 100%
0x140270	archive-read,archive-vslot2,archive-write	reconstructed	exact BYTE CList template serializer; 100%
0x1403f0	archive-read,archive-vslot2,archive-write	reconstructed	exact BYTE CArray template serializer; 100%
0x1405e0	archive-read,archive-vslot2,archive-write	reconstructed	exact object-pointer CList template serializer; 100%
0x141c90	file-read	reconstructed	source-complete CWorldMapData tile-digit table loader; 99.98%, sole two-load scheduling residue
0x144a70	archive-read,archive-write	reconstructed	exact CTokenPayload raw 12-byte serializer
0x144aa0	archive-read,archive-write	reconstructed	source-complete CWorldMapData serializer; 84.81% VC5 inline/call-set residual
0x14d500	archive-read,archive-write	reconstructed	exact Unit-owned raw 0xb4-byte record serializer; 100%
